complaint_number,title,category,priority,status,customer,assigned_agent,created_at,sla_due_at,resolved_at,closed_at,resolution_hours,sla_breached,satisfaction_rating
CMP-2025-0001,Intermittent connectivity issue,Service Disruption,Low,Closed,Customer_018,Bob Martinez,2025-01-05 09:00:00,2025-01-08 09:00:00,2025-01-05 21:00:00,2025-01-07 22:00:00,12,0,1
CMP-2025-0002,Two-factor auth failing,Technical Problems,Low,Closed,Customer_039,Alice Johnson,2025-01-20 18:00:00,2025-01-23 18:00:00,2025-01-23 04:00:00,2025-01-25 05:00:00,58,0,5
CMP-2025-0003,Manufacturing defect found,Product Defects,High,Assigned,Customer_022,Clara Singh,2025-01-25 13:00:00,2025-01-26 13:00:00,,,,1,
CMP-2024-0004,Chat support unresponsive,Customer Service,Low,Resolved,Customer_023,Emma Wilson,2024-12-12 15:00:00,2024-12-15 15:00:00,2024-12-14 16:00:00,,49,0,
CMP-2025-0005,Lost in transit,Delivery Delays,High,Open,Customer_040,,2025-01-19 09:00:00,2025-01-20 09:00:00,,,,1,
CMP-2025-0006,Cannot login to portal,Technical Problems,High,Resolved,Customer_006,Bob Martinez,2025-03-08 12:00:00,2025-03-09 12:00:00,2025-03-08 18:00:00,,6,0,3
CMP-2025-0007,Return pickup not scheduled,Delivery Delays,High,Closed,Customer_005,Emma Wilson,2025-01-13 16:00:00,2025-01-14 16:00:00,2025-01-15 18:00:00,2025-01-16 23:00:00,50,1,5
CMP-2025-0008,Cannot login to portal,Technical Problems,High,In Progress,Customer_004,Bob Martinez,2025-02-19 14:00:00,2025-02-20 14:00:00,,,,1,
CMP-2025-0009,App crashes on startup,Technical Problems,Critical,Resolved,Customer_037,Clara Singh,2025-05-17 15:00:00,2025-05-17 23:00:00,2025-05-17 19:00:00,,4,0,
CMP-2025-0010,Missing accessories in box,Product Defects,Low,Closed,Customer_036,Emma Wilson,2025-04-29 14:00:00,2025-05-02 14:00:00,2025-04-30 19:00:00,2025-05-01 15:00:00,29,0,3
CMP-2025-0011,Tax calculation incorrect,Billing Issues,High,Open,Customer_010,,2025-03-19 17:00:00,2025-03-20 17:00:00,,,,1,
CMP-2025-0012,Chat support unresponsive,Customer Service,Medium,Closed,Customer_030,Emma Wilson,2025-04-21 08:00:00,2025-04-23 08:00:00,2025-04-24 20:00:00,2025-04-27 08:00:00,84,1,5
